"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17263","login Setup","setup","Mon Dec 16 09:24:51 IST 2024","passed","Mon Dec 16 09:25:08 IST 2024","","..\globalsetup\global.setup.js","",""
"","15641","pomtest","chromium","Mon Dec 16 09:25:11 IST 2024","passed","Mon Dec 16 09:25:26 IST 2024","","Pomtest.spec.js","",""
